301,Arcelik,Fatma Ozlem Acar,Production,Project Leader,fatmaozlemacar@arcelik.com,5351001010
302,Ford,Ozde Acarkan,R&D,Manager,ozdeacarkan@ford.com,5351001011
303,Vestel,Mehmet Can Akar,Strategy,Director,mehmetcanakar@vestel.com,5351001012
304,Coca Cola,Ozer Seckin,IT,Specialist,ozerseckin@cocacola.com,5351001013
305,Sanofi,Selman Erkosan,Production,Supervisor,selmanerkosan@sanofi.com,5351001014
306,Renault,Nadire Erbul,R&D,Project Leader,nadireerbul@renault.com,5351001015
307,İs Bankasi,Abdullah Mert Erol,Product Development,Manager,abdullahmerterol@isbankasi.com,5351001016
308,HP,Yelda Kardas,IT,Director,yeldakardas@hp.com,5351001017
309,LC Waikiki,Esma Ece Kavak,Production,Specialist,esmaecekavak@lcwaikiki.com,5351001018
310,Casper,Ali Kucukler,R&D,Supervisor,alikucukler@casper.com,5351001019
311,General Mobile,Aysel Oz,Supply Chain,Project Leader,ayseloz@generalmobile.com,5351001020
312,Tofas,Safak Pakdil,IT,Manager,safakpakdil@tofas.com,5351001021
313,Turkcell,Ozge Elif Sarier,Production,Director,ozgeelifsarier@turkcell.com,5351001022
314,Samsung,Esengul Sariteke,R&D,Specialist,esengulsariteke@samsung.com,5351001023
315,Huawei,Melis Sever,Logistics,Supervisor,melissever@huawei.com,5351001024
